brand,barrier,match_count,example_quotes
Acuvue,not available at ECP,4,[Exchanging lenses is not an option.](https://www.hktvmall.com/hktv/en/main/Easy-Look/s/H5711001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/BC-90-Acuvue-Moist-1Day-Contact-Lens-P-100-Parallel-Import/p/H5711001_S_MoistPI_reg_1day-90-100S?scrollTo=reviewTab) (review) | [Struggling to find a lens with a large base curve.](https://www.xiaohongshu.com/discovery/item/69a1c2c3000000001600b912?xsec_token=YBtuvjL-SiCFiLkXErAT9dseFsk0jjxNvVQaAei4CxG_Q%3D&xsec_source=app_share) (xhs_post) | [I can't find my Acuvue lenses on Shopee anymore.](https://www.xiaohongshu.com/discovery/item/69caae060000000023023b29?xsec_token=YBWGQKQcjxc4pN9xJRe02KXzkTCAOFFcxaraIGRF7oAuU%3D&xsec_source=app_share) (xhs_post)
Acuvue,not suitable for my age,4,[Prescription out of stock affects orders.](https://www.hktvmall.com/hktv/en/main/123-OPTICAL/s/H9723001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/BC-90-Oasys-One-Day-Silicone-Hydrogel-1Day-Contact-Lens-100-Parallel-Import/p/H9723001_S_A113006_p-100?scrollTo=reviewTab) (review) | [The lenses are uncomfortable to wear.](https://www.hktvmall.com/hktv/en/main/Easy-Look/s/H5711001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/BC-85-Acuvue-Moist-1Day-Contact-Lens-P-100-Parallel-Import/p/H5711001_S_MoistPI_reg_1day-85-100S?scrollTo=reviewTab) (review) | [I no longer need these lenses due to a prescription change.](https://www.xiaohongshu.com/discovery/item/67825828000000000900f08f?xsec_token=YBqpCFYcWg9uR1A3jxqASLuVjghT1qkyz-SAxaAGa1fV8%3D&xsec_source=app_share) (xhs_post)
Acuvue,no trial lens,3,"[Issues arose from ordering the incorrect prescription without a trial option.](https://www.hktvmall.com/hktv/en/main/GOPOPSTATION/s/H9865001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/1DAY-ACUVUE-MOIST-Daily-Disposable-Contact-Lenses-30PCS-BC-85-Parallel-imported/p/H9865001_S_ACUVUE-MOIST-85-100?scrollTo=reviewTab) (review) | [No free samples led to a decision not to repurchase.](https://www.hktvmall.com/hktv/en/main/Easy-Look/s/H5711001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Bi-weekly-Disposable/BC-88-Acuvue-Oasys-2Week-Contact-Lens-P-100-Random-Packaging/p/H5711001_S_OasysPI_reg_2week-88-100S?scrollTo=reviewTab) (review) | [Loved the trial lens experience, very comfortable.](https://www.xiaohongshu.com/discovery/item/6788caae000000001c00e426?xsec_token=YB9jxsb_dbGBF8VLk4AZt_poxQiYOb9VOxKZU2-XwL55k%3D&xsec_source=app_share) (xhs_post)"
Acuvue,no ECP recommendation,1,[The quality is excellent.](https://www.hktvmall.com/hktv/en/main/KINGCON/s/H7249002/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Astigmatism-Contact-Lens/Daily-Disposable/One-Day-ACUVUE-Moist-for-Astigmatism-Contact-Lenses/p/H7249002_S_JJACMT30-85M0375-125180?scrollTo=reviewTab) (review)
Alcon,previous bad experience,45,[Had a bad experience with defective lenses this time.](https://www.hktvmall.com/hktv/en/main/Easy-Look/s/H5711001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Colour-Contact-Lens/Daily-Disposable/DAILIES-FreshLook-Illuminate-in-Rich-Brown-1Day-Contact-Lens-BC-86-P-000/p/H5711001_S_Illum_RBrown_1day-86-0?scrollTo=reviewTab) (review) | [Received a broken product with poor quality.](https://www.hktvmall.com/hktv/en/main/LENSee/s/B0217001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Colour-Contact-Lens/Daily-Disposable/DAILIES-Freshlook-ILLUMINATE-1Day-Color-Contact-Lenses-Jet-Black-P-000/p/B0217001_S_FLI30JBk-0000?scrollTo=reviewTab) (review) | [Several lenses caused discomfort; won't shop here again.](https://www.hktvmall.com/hktv/en/main/Vcons/s/B1665001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/Precision-contact-lens-1Day-30P-BC-83-050/p/B1665001_S_Alcon-PRECISION-50?scrollTo=reviewTab) (review)
Alcon,bad reviews,15,"[Received an expired product, felt cheated by the merchant.](https://www.hktvmall.com/hktv/en/main/KINGCON/s/H7249002/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Monthly-Disposable/Air-Optix-HydraGlyde-Contact-Lenses/p/H7249002_S_ALAOHG06-86M0100?scrollTo=reviewTab) (review) | [Claimed good expiration date but received incorrect items, felt cheated.](https://www.hktvmall.com/hktv/en/main/KINGCON/s/H7249002/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Monthly-Disposable/Air-Optix-HydraGlyde-Contact-Lenses/p/H7249002_S_ALAOHG06-86M0100?scrollTo=reviewTab) (review) | [The product quality raised concerns due to unclear expiration dates.](https://www.hktvmall.com/hktv/en/main/123-OPTICAL/s/H9723001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/DAILIES-TOTAL-1-Silicone-Hydrogel-1Day-Contact-Lens-Parallel-Import/p/H9723001_S_F113003_p-100?scrollTo=reviewTab) (review)"
Alcon,too expensive,14,"[Price is reasonable with good service.](https://www.hktvmall.com/hktv/en/main/Contact-Lens-247/s/H9835001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/DAILIES-TOTAL-1-Daily-Disposal-Contact-Lenses-Parallel-Import-TOTAL1-TOTAL-one/p/H9835001_S_Total1-100?scrollTo=reviewTab) (review) | [This lens is pricier than colored ones, and the packaging is dirty.](https://www.hktvmall.com/hktv/en/main/UNICON/s/B1099001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/10P-Trial-set-Total-1-Daily-Contact-Lenses-Parallel-import/p/B1099001_S_NB-10P-Total1-Pi-100?scrollTo=reviewTab) (review) | [I’m unsure if they're genuine since they're pricier than similar products.](https://www.hktvmall.com/hktv/en/main/Easy-Look/s/H5711001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/DAILIES-TOTAL-1-Silicone-Hydrogel-1Day-Contact-Lens-BC-85-P-100/p/H5711001_S_Total1_reg_1day-85-100S?scrollTo=reviewTab) (review)"
Alcon,used to current brand,12,[I'm already accustomed to my current lenses.](https://www.hktvmall.com/hktv/en/main/Vintage-Eyewear-4-You/s/S1115001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Multifocal-Contact-Lenses/Daily-Disposable/DAILIES-TOTAL-MULTIFOCAL-30pcsboxDealer-Products-PWR-1000-LO/p/S1115001_S_DAILIESTOTAL1MULTIFOCAL_L_1000?scrollTo=reviewTab) (review) | [I'm accustomed to my current brand.](https://www.hktvmall.com/hktv/en/main/POKECON/s/H8617001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/Precision-1-Daily-Disposal-Contact-Lenses/p/H8617001_S_Precision1-100?scrollTo=reviewTab) (review) | [I’ve always bought this brand.](https://www.hktvmall.com/hktv/en/main/KINGCON/s/H7249002/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Multifocal-Contact-Lenses/Monthly-Disposable/Air-Optix-HydraGlyde-Multifocal-6-Pack-Contact-Lenses/p/H7249002_S_ALAOHF06-86M0100-LO?scrollTo=reviewTab) (review)
Alcon,not on promotion,7,[Better discounts online with fast shipping.](https://www.hktvmall.com/hktv/en/main/POKECON/s/H8617001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/Precision-1-Daily-Disposal-Contact-Lenses/p/H8617001_S_Precision1-100?scrollTo=reviewTab) (review) | [Great discounts and quick deliveries!](https://www.hktvmall.com/hktv/en/main/POKECON/s/H8617001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/Precision-1-Daily-Disposal-Contact-Lenses/p/H8617001_S_Precision1-100?scrollTo=reviewTab) (review) | [I was pleased with the discount.](https://www.hktvmall.com/hktv/en/main/KINGCON/s/H7249002/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Multifocal-Contact-Lenses/Monthly-Disposable/Air-Optix-HydraGlyde-Multifocal-6-Pack-Contact-Lenses/p/H7249002_S_ALAOHF06-86M0100-LO?scrollTo=reviewTab) (review)
Alcon,lack of familiarity,6,[I’m unsure if they're genuine since they're pricier than similar products.](https://www.hktvmall.com/hktv/en/main/Easy-Look/s/H5711001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/DAILIES-TOTAL-1-Silicone-Hydrogel-1Day-Contact-Lens-BC-85-P-100/p/H5711001_S_Total1_reg_1day-85-100S?scrollTo=reviewTab) (review) | [I suspect old stock issues and worry about quality differences.](https://www.hktvmall.com/hktv/en/main/LENSee/s/B0217001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/DAILIES-TOTAL-1-Contact-Lenses-P-100/p/B0217001_S_TotalOne30-0100?scrollTo=reviewTab) (review) | [I'm unsure about its origin and whether it's from the gray market.](https://www.hktvmall.com/hktv/en/main/Easy-Look/s/H5711001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/DAILIES-AquaComfort-PLUS-1Day-Contact-Lens-87-P-100/p/H5711001_S_DACP_reg_1day-87-100S?scrollTo=reviewTab) (review)
Alcon,not suitable for my age,4,"[Several lenses caused discomfort; won't shop here again.](https://www.hktvmall.com/hktv/en/main/Vcons/s/B1665001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/Precision-contact-lens-1Day-30P-BC-83-050/p/B1665001_S_Alcon-PRECISION-50?scrollTo=reviewTab) (review) | [Quality is average, too soft and fragile.](https://www.hktvmall.com/hktv/en/main/UNICON/s/B1099001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Multifocal-Contact-Lenses/Daily-Disposable/DAILIES-AquaComfort-Plus-MultiFocal-Daily-Disposal-Contact-Lenses-Parallel-imported-products/p/B1099001_S_DACPMF-Pi-100_LOW?scrollTo=reviewTab) (review) | [Comfortable but feels dry after a few hours, causing redness.](https://www.hktvmall.com/hktv/en/main/Easy-Look/s/H5711001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/DAILIES-TOTAL-1-Silicone-Hydrogel-1Day-Contact-Lens-BC-85-P-100/p/H5711001_S_Total1_reg_1day-85-100S?scrollTo=reviewTab) (review)"
Alcon,longer wait time,3,[Delivery issues and lack of customer support were frustrating.](https://www.hktvmall.com/hktv/en/main/LENSee/s/B0217001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Daily-Disposable/DAILIES-TOTAL-1-Contact-Lenses-P-100/p/B0217001_S_TotalOne30-0100?scrollTo=reviewTab) (review) | [Received a delayed notification for my order pick-up.](https://www.hktvmall.com/hktv/en/main/Easy-Look/s/H5711001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Spherical-for-Short-Long-sighted/Monthly-Disposable/AIR-OPTIX-plus-HydraGlyde-1Month-Contact-Lens-BC-86-P-100/p/H5711001_S_AOH_reg_1mon-86-100S?scrollTo=reviewTab) (review) | [There was a long wait time for the wrong item to be exchanged.](https://www.hktvmall.com/hktv/en/main/Vintage-Eyewear-4-You/s/S1115001/Personal-Care-%26-Health/Personal-Care-%26-Health/Contact-Lenses-%26-Eye-Care/Contact-Lenses/Multifocal-Contact-Lenses/Monthly-Disposable/AIR-OPTIX-AQUA-NIGHT-DAY-3pcsboxDealer-Products-FREE-TRIAL/p/S1115001_S_AIROPTIXAQUANIGHTDAY_86_1000?scrollTo=reviewTab) (review)
