market,brand,platform,date,language,summary,sentiment,source_url,geo_validated
TH,Acuvue,Pantip,2026-01-01,Thai,"Beauty blogger first-person account of attending a J&J launch event for 1-Day Acuvue Define; enthusiastic but brand-event coverage rather than independent purchase review — should be weighted lightly.",neutral,https://pantip.com/topic/32337225,Yes
TH,Acuvue,Pantip,2026-01-01,Thai,"Repeated standalone questions asking about Acuvue monthly-lens pricing at Top Charoen optical chain, including for high prescriptions up to -1200; suggests Thai shoppers treat Acuvue as a premium price point worth researching carefully.",neutral,https://pantip.com/topic/35308246,Yes
TH,Alcon,Pantip,2026-01-01,Thai,"Dry-eye sufferer laid out side-by-side specs (oxygen transmission, water content) for Acuvue Oasys vs Alcon Air Optix Aqua to decide which to try. Purely comparative, no verdict reached in-thread.",neutral,https://pantip.com/topic/31823552,Yes
TH,Alcon,Pantip,2026-01-01,Thai,"User on B&L Soflens 59 said a shop recommended bordering on insisted she switch to Alcon O2 Optix with a string of claimed benefits; her tone reads as skeptical of the sales pitch rather than of the Alcon product itself.",negative,https://pantip.com/topic/38352339,Yes
TH,Alcon,Pantip,2026-01-01,Thai,"Recurring comparisons of Alcon Systane Ultra and Renu solution against competitors are consistently neutral to positive; treated as a reliable staple rather than a source of complaints.",positive,https://pantip.com/topic/33087733,Yes
TH,Bausch & Lomb,Pantip,2026-01-01,Thai,"User reported sudden strong eye redness and stinging on the very first day wearing B&L Ultra monthly lenses, despite no previous issues on B&L Biotrue dailies. Unresolved safety concern specific to the Ultra line.",negative,https://pantip.com/topic/37361369,Yes
TH,Bausch & Lomb,Pantip,2026-01-01,Thai,"New wearer reported B&L Ultra lenses sticking to fingers and being difficult to insert in her first few days. Mildly negative, framed as a learning-curve issue.",negative,https://pantip.com/topic/43616263,Yes
TH,Bausch & Lomb,Pantip,2026-01-01,Thai,"Several new or returning wearers describe B&L SofLens 59 monthly lenses as comfortable — not too hard or soft — with no irritation reported in early days of wear.",positive,https://pantip.com/topic/33388579,Yes
TH,Bausch & Lomb,Pantip,2026-01-01,Thai,"Independent consumer review of B&L Naturelle daily color lens is enthusiastic about natural-looking color effect and overall comfort.",positive,https://pantip.com/topic/34361760,Yes
TH,Bausch & Lomb,Pantip,2026-01-01,Thai,"Heavy daily wearer stayed loyal to B&L monthly lenses for comfort and was anxious about switching to the cheaper local brand Duna, reflecting comfort-driven loyalty rather than price sensitivity.",positive,https://pantip.com/topic/31709922,Yes
TH,Olens,Pantip,2026-01-01,Thai,"Long-time Korean color-lens user described Olens as far more comfortable than Thai big-eye lenses she had tried — feels like not wearing anything. Referenced Blackpink endorsement as part of her interest in the brand.",positive,https://pantip.com/topic/37964612,Yes
TH,Olens,Jeban,2026-01-01,Thai,"Beauty blogger reviewed several Olens color-lens designs (Someday Gray, Winky Stay Brown, Triple 3 Con Gray); generally positive about natural-looking colors and comfort, flagging which shades look too obviously colored for school wear.",positive,https://www.jeban.com/topic/246944,Yes
TH,Olens,Pantip,2026-01-01,Thai,"Loyal O-Lens user compared two of the brand's own lines and found Vivi Ring noticeably less satisfying than her usual Jenith Gold — a within-brand disappointment rather than a brand-level rejection.",mixed,https://pantip.com/topic/40378053,Yes
TH,Olens,Pantip,2026-01-01,Thai,"Multiple threads ask where to buy Olens or for alternatives with a similarly natural look and comparable water content, suggesting real brand pull from Blackpink and NewJeans endorsements but frustration with limited physical retail availability in Thailand.",neutral,https://pantip.com/topic/38818395,Yes
TH,Olens,Pantip,2026-01-01,Thai,"User questions authenticity of unusually cheap Olens and Idollens lenses sold through pre-order resale groups at THB 350-380 versus THB 500-990 through other channels; worried about counterfeits despite sellers' assurances.",negative,https://pantip.com/topic/40488427,Yes
