market,brand,sku,store,price,currency,date_observed,source_url,geo_validated
HK,Alcon,Precision 1,Optical 88,245,HKD,2026-06-30,https://eshop.optical88.com.hk/hk_en/contact-lenses/alcon-precision-1,Yes
HK,Alcon,Air Optix Night & Day 8.4/8.6,Optical 88,460,HKD,2026-06-30,https://eshop.optical88.com.hk/hk_en/contact-lenses/alcon-airoptix-night-day-8-4-8-6,Yes
HK,Alcon,AirOptix +HydraGlyde for Multifocal,Optical 88,502,HKD,2026-06-30,https://eshop.optical88.com.hk/hk_en/contact-lenses/alcon-airoptix-plus-hydraglyde-for-mf,Yes
HK,Alcon,AirOptix +HydraGlyde for Astigmatism 8.7,Optical 88,250,HKD,2026-06-30,https://eshop.optical88.com.hk/hk_en/contact-lenses/alcon-airoptix-plushydraglyde-for-ast-3,Yes
HK,Alcon,Air Optix +HydraGlyde 8.6,Optical 88,320,HKD,2026-06-30,https://eshop.optical88.com.hk/hk_en/contact-lenses/alcon-air-optix-plus-hydraglyde-8-6,Yes
HK,Bausch & Lomb,Lacelle Limbal 2-Tone/Iconic,Optical 88,238,HKD,2026-06-30,https://eshop.optical88.com.hk/hk_en/contact-lenses/b-l-lacelle-limbal-2-tone-lacelle-iconic-contact-lens-series,Yes
HK,Bausch & Lomb,Lacelle Limbal,Optical 88,238,HKD,2026-06-30,https://eshop.optical88.com.hk/hk_en/contact-lenses/b-l-lacelle-limbal-contact-lens-series,Yes
HK,Bausch & Lomb,Lacelle Dazzle Ring,Optical 88,238,HKD,2026-06-30,https://eshop.optical88.com.hk/hk_en/contact-lenses/b-l-lacelle-dazzle-ring-contact-lens-series,Yes
HK,Bausch & Lomb,Lacelle Color Con,Optical 88,238,HKD,2026-06-30,https://eshop.optical88.com.hk/hk_en/contact-lenses/b-l-lacelle-color-con-contact-lens-series,Yes
HK,Bausch & Lomb,Biotrue ONEday for Presbyopia 8.6,Optical 88,326,HKD,2026-06-30,https://eshop.optical88.com.hk/hk_en/contact-lenses/b-l-biotrue-oneday-for-presbyopia-8-6,Yes
HK,Bausch & Lomb,Biotrue ONEday 8.6,Optical 88,180,HKD,2026-06-30,https://eshop.optical88.com.hk/hk_en/contact-lenses/b-l-bioture-oneday-8-6,Yes
HK,Bausch & Lomb,Biotrue ONEday for Astigmatism 8.4,Optical 88,345,HKD,2026-06-30,https://eshop.optical88.com.hk/hk_en/contact-lenses/b-l-biotrue-oneday-for-astigmatism-8-4,Yes
HK,Bausch & Lomb,SofLens 66 Toric 8.5,Optical 88,260,HKD,2026-06-30,https://eshop.optical88.com.hk/hk_en/contact-lenses/b-l-soflens-66-toric-8-5,Yes
HK,Bausch & Lomb,SofLens 59 8.6,Optical 88,163,HKD,2026-06-30,https://eshop.optical88.com.hk/hk_en/contact-lenses/b-l-soflens-59-8-6-comfort,Yes
HK,Bausch & Lomb,SofLens 38 8.7,Optical 88,192,HKD,2026-06-30,https://eshop.optical88.com.hk/hk_en/contact-lenses/b-l-soflens-38-8-7,Yes
HK,Bausch & Lomb,SofLens Daily Disposable for Astigmatism 8.6,Optical 88,270,HKD,2026-06-30,https://eshop.optical88.com.hk/hk_en/contact-lenses/b-l-soflens-daily-disposable-for-astigmatism-30-8-6,Yes
HK,Bausch & Lomb,SofLens Daily Disposable 8.6,Optical 88,160,HKD,2026-06-30,https://eshop.optical88.com.hk/hk_en/contact-lenses/b-l-soflens-daily-disposable-8-6,Yes
HK,Bausch & Lomb,SofLens Multifocal 8.5/8.8,Optical 88,615,HKD,2026-06-30,https://eshop.optical88.com.hk/hk_en/contact-lenses/b-l-soflens-multifocal-8-5-8-8,Yes
HK,Bausch & Lomb,ULTRA ONE DAY Multifocal 8.6,Optical 88,470,HKD,2026-06-30,https://eshop.optical88.com.hk/hk_en/contact-lenses/b-l-ultra-one-day-multifocal-8-6-contact-lens,Yes
HK,Bausch & Lomb,ULTRA ONE DAY 8.6,Optical 88,278,HKD,2026-06-30,https://eshop.optical88.com.hk/hk_en/contact-lenses/b-l-ultra-one-day-8-6,Yes
HK,Bausch & Lomb,ULTRA 8.5,Optical 88,328,HKD,2026-06-30,https://eshop.optical88.com.hk/hk_en/contact-lenses/b-l-ultra-8-5,Yes
HK,Bausch & Lomb,ULTRA for Astigmatism 8.6,Optical 88,480,HKD,2026-06-30,https://eshop.optical88.com.hk/hk_en/contact-lenses/b-l-ultra-for-astigmatism-8-6-contact-lens,Yes
HK,Bausch & Lomb,Ultra for Presbyopia 8.5,Optical 88,1020,HKD,2026-06-30,https://eshop.optical88.com.hk/hk_en/contact-lenses/b-l-ultra-for-presbyopia-8-5,Yes
HK,Acuvue,Moist 1-Day Multifocal,393lens.com,353,HKD,2026-06-30,https://www.393lens.com/Buy-Acuvue-contact-lens/,Yes
HK,Acuvue,Define 1-Day,393lens.com,230,HKD,2026-06-30,https://www.393lens.com/Buy-Acuvue-contact-lens/,Yes
HK,Acuvue,Define Fresh 1-Day,393lens.com,230,HKD,2026-06-30,https://www.393lens.com/Buy-Acuvue-contact-lens/,Yes
HK,Acuvue,Moist 1-Day,393lens.com,175,HKD,2026-06-30,https://www.393lens.com/Buy-Acuvue-contact-lens/,Yes
HK,Acuvue,Moist 1-Day for Astigmatism,393lens.com,275,HKD,2026-06-30,https://www.393lens.com/Buy-Acuvue-contact-lens/,Yes
HK,Acuvue,TruEye 1-Day (discontinued),393lens.com,210,HKD,2026-06-30,https://www.393lens.com/Buy-Acuvue-contact-lens/,Yes
HK,Acuvue,Oasys 1-Day for Astigmatism,393lens.com,370,HKD,2026-06-30,https://www.393lens.com/Buy-Acuvue-contact-lens/,Yes
HK,Acuvue,Oasys for Astigmatism 2-Week,393lens.com,275,HKD,2026-06-30,https://www.393lens.com/Buy-Acuvue-contact-lens/,Yes
HK,Acuvue,Acuvue 2 (discontinued),393lens.com,205,HKD,2026-06-30,https://www.393lens.com/Buy-Acuvue-contact-lens/,Yes
HK,Acuvue,Oasys 1-Day,393lens.com,250,HKD,2026-06-30,https://www.393lens.com/Buy-Acuvue-contact-lens/,Yes
HK,Acuvue,Oasys Max 1-Day,393lens.com,330,HKD,2026-06-30,https://www.393lens.com/Buy-Acuvue-contact-lens/,Yes
HK,Acuvue,Oasys 2-Week,393lens.com,195,HKD,2026-06-30,https://www.393lens.com/Buy-Acuvue-contact-lens/,Yes
HK,Acuvue,Vita (discontinued),393lens.com,260,HKD,2026-06-30,https://www.393lens.com/Buy-Acuvue-contact-lens/,Yes
HK,Alcon,Dailies AquaComfort Plus Multifocal,393lens.com,240,HKD,2026-06-30,https://www.393lens.com/contact-lens-manufacturer/alcon/,Yes
HK,Alcon,Precision 1,393lens.com,225,HKD,2026-06-30,https://www.393lens.com/contact-lens-manufacturer/alcon/,Yes
HK,Alcon,Precision 1 for Astigmatism,393lens.com,260,HKD,2026-06-30,https://www.393lens.com/contact-lens-manufacturer/alcon/,Yes
HK,Alcon,Dailies Total 1 (90-pack),393lens.com,625,HKD,2026-06-30,https://www.393lens.com/contact-lens-manufacturer/alcon/,Yes
HK,Alcon,Dailies Total 1,393lens.com,240,HKD,2026-06-30,https://www.393lens.com/contact-lens-manufacturer/alcon/,Yes
HK,Alcon,Dailies Total 1 for Astigmatism,393lens.com,360,HKD,2026-06-30,https://www.393lens.com/contact-lens-manufacturer/alcon/,Yes
HK,Alcon,Dailies Total 1 Multifocal,393lens.com,310,HKD,2026-06-30,https://www.393lens.com/contact-lens-manufacturer/alcon/,Yes
HK,Alcon,AquaComfort Plus,393lens.com,160,HKD,2026-06-30,https://www.393lens.com/contact-lens-manufacturer/alcon/,Yes
HK,Alcon,AquaComfort Plus Toric,393lens.com,210,HKD,2026-06-30,https://www.393lens.com/contact-lens-manufacturer/alcon/,Yes
HK,Alcon,Freshlook Illuminate 30pk,393lens.com,185,HKD,2026-06-30,https://www.393lens.com/contact-lens-manufacturer/alcon/,Yes
HK,Alcon,Freshlook Illuminate 10pk (discontinued),393lens.com,95,HKD,2026-06-30,https://www.393lens.com/contact-lens-manufacturer/alcon/,Yes
HK,Alcon,Freshlook Colorblends 1-Day (discontinued),393lens.com,100,HKD,2026-06-30,https://www.393lens.com/contact-lens-manufacturer/alcon/,Yes
HK,Alcon,Freshlook Colorblends (discontinued),393lens.com,100,HKD,2026-06-30,https://www.393lens.com/contact-lens-manufacturer/alcon/,Yes
HK,Bausch & Lomb,Ultra One Day,393lens.com,260,HKD,2026-06-30,https://www.393lens.com/contact-lens-manufacturer/bausch-lomb-contact-lenses/,Yes
HK,Bausch & Lomb,Biotrue ONEday Multifocal,393lens.com,245,HKD,2026-06-30,https://www.393lens.com/contact-lens-manufacturer/bausch-lomb-contact-lenses/,Yes
HK,Bausch & Lomb,Lacelle Dazzle Ring,393lens.com,200,HKD,2026-06-30,https://www.393lens.com/contact-lens-manufacturer/bausch-lomb-contact-lenses/,Yes
HK,Bausch & Lomb,PureVision 2 for Astigmatism,393lens.com,390,HKD,2026-06-30,https://www.393lens.com/contact-lens-manufacturer/bausch-lomb-contact-lenses/,Yes
HK,Bausch & Lomb,SofLens 66 (discontinued),393lens.com,210,HKD,2026-06-30,https://www.393lens.com/contact-lens-manufacturer/bausch-lomb-contact-lenses/,Yes
HK,Bausch & Lomb,Biotrue ONEday,393lens.com,195,HKD,2026-06-30,https://www.393lens.com/contact-lens-manufacturer/bausch-lomb-contact-lenses/,Yes
HK,Bausch & Lomb,Biotrue ONEday 90pk,393lens.com,630,HKD,2026-06-30,https://www.393lens.com/contact-lens-manufacturer/bausch-lomb-contact-lenses/,Yes
HK,Bausch & Lomb,Biotrue ONEday for Astigmatism,393lens.com,245,HKD,2026-06-30,https://www.393lens.com/contact-lens-manufacturer/bausch-lomb-contact-lenses/,Yes
HK,Bausch & Lomb,STARRY (discontinued),393lens.com,90,HKD,2026-06-30,https://www.393lens.com/contact-lens-manufacturer/bausch-lomb-contact-lenses/,Yes
HK,Bausch & Lomb,Lacelle,393lens.com,200,HKD,2026-06-30,https://www.393lens.com/contact-lens-manufacturer/bausch-lomb-contact-lenses/,Yes
HK,Bausch & Lomb,Lacelle Iconic,393lens.com,200,HKD,2026-06-30,https://www.393lens.com/contact-lens-manufacturer/bausch-lomb-contact-lenses/,Yes
HK,Bausch & Lomb,Lacelle Iconic Series,393lens.com,200,HKD,2026-06-30,https://www.393lens.com/contact-lens-manufacturer/bausch-lomb-contact-lenses/,Yes
HK,Bausch & Lomb,Lacelle Colors,393lens.com,200,HKD,2026-06-30,https://www.393lens.com/contact-lens-manufacturer/bausch-lomb-contact-lenses/,Yes
HK,Bausch & Lomb,Naturelle 1-Day,393lens.com,320,HKD,2026-06-30,https://www.393lens.com/contact-lens-manufacturer/bausch-lomb-contact-lenses/,Yes
HK,Bausch & Lomb,SofLens Daily Disposable,393lens.com,115,HKD,2026-06-30,https://www.393lens.com/contact-lens-manufacturer/bausch-lomb-contact-lenses/,Yes
HK,Bausch & Lomb,SofLens 1-Day for Astigmatism,393lens.com,210,HKD,2026-06-30,https://www.393lens.com/contact-lens-manufacturer/bausch-lomb-contact-lenses/,Yes
HK,Bausch & Lomb,SofLens Multifocal,393lens.com,410,HKD,2026-06-30,https://www.393lens.com/contact-lens-manufacturer/bausch-lomb-contact-lenses/,Yes
HK,Bausch & Lomb,ULTRA for Presbyopia,393lens.com,540,HKD,2026-06-30,https://www.393lens.com/contact-lens-manufacturer/bausch-lomb-contact-lenses/,Yes
HK,Bausch & Lomb,ULTRA Monthly,393lens.com,255,HKD,2026-06-30,https://www.393lens.com/contact-lens-manufacturer/bausch-lomb-contact-lenses/,Yes
HK,Bausch & Lomb,ULTRA Toric for Astigmatism,393lens.com,330,HKD,2026-06-30,https://www.393lens.com/contact-lens-manufacturer/bausch-lomb-contact-lenses/,Yes
HK,Bausch & Lomb,SofLens 59,393lens.com,145,HKD,2026-06-30,https://www.393lens.com/contact-lens-manufacturer/bausch-lomb-contact-lenses/,Yes
HK,Acuvue,ACUVUE OASYS 1-Day w/ HydraLuxe,Unioptique (price.com.hk),242,HKD,2026-06-30,https://shop.price.com.hk/UNIOPTIQUE/product/120930,Yes
HK,Acuvue,ACUVUE OASYS w/ HydraClear Plus 2-Week,UniconHK (price.com.hk),170,HKD,2026-06-30,https://price.com.hk/ec-product-list.php?list_id=838,Yes
HK,Acuvue,1-Day ACUVUE DEFINE,UniconHK (price.com.hk),210,HKD,2026-06-30,https://price.com.hk/ec-product-list.php?list_id=838,Yes
HK,Acuvue,Acuvue 1-Day Oasys w/ HydraLuxe,Moon River Mall (price.com.hk),249,HKD,2026-06-30,https://price.com.hk/ec-product-list.php?list_id=838,Yes
HK,Acuvue,1-Day Acuvue Define,Gopopstation (price.com.hk),230,HKD,2026-06-30,https://shop.price.com.hk/gopopstation,Yes
HK,Acuvue,Acuvue Oasys One Day,Gopopstation (price.com.hk),250,HKD,2026-06-30,https://shop.price.com.hk/gopopstation,Yes
HK,Bausch & Lomb,SofLens 1-Day,Gopopstation (price.com.hk),80,HKD,2026-06-30,https://shop.price.com.hk/gopopstation,Yes
HK,Bausch & Lomb,Lacelle Dazzle Ring,Gopopstation (price.com.hk),148,HKD,2026-06-30,https://shop.price.com.hk/gopopstation,Yes
HK,Bausch & Lomb,Lacelle Color Con,Gopopstation (price.com.hk),146,HKD,2026-06-30,https://shop.price.com.hk/gopopstation,Yes
HK,Bausch & Lomb,Biotrue 1-Day,Gopopstation (price.com.hk),160,HKD,2026-06-30,https://shop.price.com.hk/gopopstation,Yes
HK,Bausch & Lomb,Biotrue 1-Day for Astigmatism,Gopopstation (price.com.hk),245,HKD,2026-06-30,https://shop.price.com.hk/gopopstation,Yes
HK,Acuvue,ACUVUE MOIST 1-Day,KxM Contact Lens,140,HKD,2026-06-30,https://kxmcontactlens.com/,Yes
HK,Acuvue,ACUVUE OASYS 1-Day for Astigmatism,KxM Contact Lens,270,HKD,2026-06-30,https://kxmcontactlens.com/,Yes
HK,Acuvue,1-Day ACUVUE MOIST,AGO Eyewear,165,HKD,2026-06-30,https://agoeyewear.com.hk/,Yes
TH,Acuvue,1-Day Moist (30pk),TA-TO.com,845,THB,2026-06-30,https://ta-to.com/products/,Yes
TH,Acuvue,Oasys 1-Day (30pk),TA-TO.com,1195,THB,2026-06-30,https://ta-to.com/products/,Yes
TH,Acuvue,Moist 1-Day for Astigmatism (30pk),TA-TO.com,1090,THB,2026-06-30,https://ta-to.com/products/,Yes
TH,Acuvue,Oasys 2-Week (6pk),TA-TO.com,895,THB,2026-06-30,https://ta-to.com/products/,Yes
TH,Acuvue,Acuvue 2 (6pk),TA-TO.com,605,THB,2026-06-30,https://ta-to.com/products/,Yes
TH,Acuvue,Oasys 1-Day for Astigmatism (30pk),TA-TO.com,1500,THB,2026-06-30,https://ta-to.com/products/,Yes
TH,Acuvue,Define Fresh Grayzel (30pk),TA-TO.com,815,THB,2026-06-30,https://ta-to.com/products/,Yes
TH,Acuvue,Define Radiant Chic (30pk),TA-TO.com,815,THB,2026-06-30,https://ta-to.com/products/,Yes
TH,Acuvue,Define Vivid Style (30pk),TA-TO.com,815,THB,2026-06-30,https://ta-to.com/products/,Yes
TH,Acuvue,Define Radiant Sweet (30pk),TA-TO.com,815,THB,2026-06-30,https://ta-to.com/products/,Yes
TH,Acuvue,Define Radiant Bright (30pk),TA-TO.com,815,THB,2026-06-30,https://ta-to.com/products/,Yes
TH,Alcon,Dailies AquaComfort Plus (30pk),TA-TO.com,650,THB,2026-06-30,https://ta-to.com/products/,Yes
TH,Alcon,Air Optix +HydraGlyde (6pk),TA-TO.com,999,THB,2026-06-30,https://ta-to.com/products/,Yes
TH,Alcon,Air Optix +HydraGlyde (3pk),TA-TO.com,549,THB,2026-06-30,https://ta-to.com/products/,Yes
TH,Alcon,Freshlook 1-Day Pure Hazel (10pk),TA-TO.com,475,THB,2026-06-30,https://ta-to.com/products/,Yes
TH,Alcon,Freshlook Illuminate Chic Caramel (10pk),TA-TO.com,475,THB,2026-06-30,https://ta-to.com/products/,Yes
TH,Alcon,Freshlook 1-Day Gray (10pk),TA-TO.com,475,THB,2026-06-30,https://ta-to.com/products/,Yes
TH,Alcon,FreshLook Colorblends Brown (2pk),TA-TO.com,550,THB,2026-06-30,https://ta-to.com/products/,Yes
TH,Alcon,FreshLook Colorblends Pure Hazel (2pk),TA-TO.com,550,THB,2026-06-30,https://ta-to.com/products/,Yes
TH,Alcon,Air Optix Colors Brown (2pk),TA-TO.com,650,THB,2026-06-30,https://ta-to.com/products/,Yes
TH,Alcon,Freshlook 1-Day Green (10pk),TA-TO.com,475,THB,2026-06-30,https://ta-to.com/products/,Yes
TH,Alcon,Air Optix Colors Pure Hazel (2pk),TA-TO.com,650,THB,2026-06-30,https://ta-to.com/products/,Yes
TH,Bausch & Lomb,SofLens Daily (30pk),TA-TO.com,495,THB,2026-06-30,https://ta-to.com/products/,Yes
TH,Bausch & Lomb,SofLens 59 (6pk),TA-TO.com,425,THB,2026-06-30,https://ta-to.com/products/,Yes
TH,Bausch & Lomb,Biotrue ONEday (30pk),TA-TO.com,560,THB,2026-06-30,https://ta-to.com/products/,Yes
TH,Bausch & Lomb,SofLens Daily Toric (30pk),TA-TO.com,895,THB,2026-06-30,https://ta-to.com/products/,Yes
TH,Bausch & Lomb,SofLens Toric (6pk),TA-TO.com,1090,THB,2026-06-30,https://ta-to.com/products/,Yes
TH,Bausch & Lomb,ULTRA (2pk),TA-TO.com,325,THB,2026-06-30,https://ta-to.com/products/,Yes
TH,Bausch & Lomb,Ultra One Day (30pk),TA-TO.com,888,THB,2026-06-30,https://ta-to.com/products/,Yes
TH,Bausch & Lomb,Naturelle Brown (30pk),TA-TO.com,775,THB,2026-06-30,https://ta-to.com/products/,Yes
TH,Bausch & Lomb,Lacelle Grace Crystal Brown (2pk),TA-TO.com,280,THB,2026-06-30,https://ta-to.com/products/,Yes
TH,Bausch & Lomb,Lacelle Grace Twinkle Brown (2pk),TA-TO.com,280,THB,2026-06-30,https://ta-to.com/products/,Yes
TH,Bausch & Lomb,Naturelle Black (30pk),TA-TO.com,775,THB,2026-06-30,https://ta-to.com/products/,Yes
TH,Bausch & Lomb,Lacelle Grace Crystal Brown (monthly),Watsons Thailand,290,THB,2026-06-30,https://www.watsons.co.th/th/c/contactlens-rv,Yes
TH,Bausch & Lomb,SofLens Daily 10pc,Watsons Thailand,239,THB,2026-06-30,https://www.watsons.co.th/th/c/contactlens-rv,Yes
TH,Bausch & Lomb,SofLens Monthly 2pc,Watsons Thailand,216,THB,2026-06-30,https://www.watsons.co.th/th/c/contactlens-rv,Yes
TH,Bausch & Lomb,Lacelle Jewel Brown (monthly),Watsons Thailand,290,THB,2026-06-30,https://www.watsons.co.th/th/c/contactlens-rv,Yes
